material,horizon,candidate,fold,order,seasonal_order,sMAPE
5,10,arima_400,26,"(4, 0, 0)","(0, 0, 0, 0)",0.04489580425129093
5,10,arima_400,27,"(4, 0, 0)","(0, 0, 0, 0)",0.1367567193246881
5,10,sarima_002_100_5,1,"(0, 0, 2)","(1, 0, 0, 5)",0.09478528322836913
5,10,sarima_002_100_5,2,"(0, 0, 2)","(1, 0, 0, 5)",0.11271090138710066
5,10,sarima_002_100_5,3,"(0, 0, 2)","(1, 0, 0, 5)",0.19224341700431127
5,10,sarima_002_100_5,4,"(0, 0, 2)","(1, 0, 0, 5)",0.09442365952985798
5,10,sarima_002_100_5,5,"(0, 0, 2)","(1, 0, 0, 5)",0.13692966938479129
5,10,sarima_002_100_5,6,"(0, 0, 2)","(1, 0, 0, 5)",0.0916422647388911
5,10,sarima_002_100_5,7,"(0, 0, 2)","(1, 0, 0, 5)",0.09880334184399163
5,10,sarima_002_100_5,8,"(0, 0, 2)","(1, 0, 0, 5)",0.17730162361137297
5,10,sarima_002_100_5,9,"(0, 0, 2)","(1, 0, 0, 5)",0.17471836392890405
5,10,sarima_002_100_5,10,"(0, 0, 2)","(1, 0, 0, 5)",0.29610631331893583
5,10,sarima_002_100_5,11,"(0, 0, 2)","(1, 0, 0, 5)",0.35508062160361376
5,10,sarima_002_100_5,12,"(0, 0, 2)","(1, 0, 0, 5)",0.0760868851533231
5,10,sarima_002_100_5,13,"(0, 0, 2)","(1, 0, 0, 5)",0.06272525302212165
5,10,sarima_002_100_5,14,"(0, 0, 2)","(1, 0, 0, 5)",0.10059789886471855
5,10,sarima_002_100_5,15,"(0, 0, 2)","(1, 0, 0, 5)",0.13221439804669785
5,10,sarima_002_100_5,16,"(0, 0, 2)","(1, 0, 0, 5)",0.12208133552457362
5,10,sarima_002_100_5,17,"(0, 0, 2)","(1, 0, 0, 5)",0.1342656854647739
5,10,sarima_002_100_5,18,"(0, 0, 2)","(1, 0, 0, 5)",0.08832836500123134
5,10,sarima_002_100_5,19,"(0, 0, 2)","(1, 0, 0, 5)",0.056676113528371
5,10,sarima_002_100_5,20,"(0, 0, 2)","(1, 0, 0, 5)",0.07128275847853029
5,10,sarima_002_100_5,21,"(0, 0, 2)","(1, 0, 0, 5)",0.12901949548577982
5,10,sarima_002_100_5,22,"(0, 0, 2)","(1, 0, 0, 5)",0.07359176026711965
5,10,sarima_002_100_5,23,"(0, 0, 2)","(1, 0, 0, 5)",0.07925274403996223
5,10,sarima_002_100_5,24,"(0, 0, 2)","(1, 0, 0, 5)",0.10521672848758619
5,10,sarima_002_100_5,25,"(0, 0, 2)","(1, 0, 0, 5)",0.10641885858095775
5,10,sarima_002_100_5,26,"(0, 0, 2)","(1, 0, 0, 5)",0.0714636139869651
5,10,sarima_002_100_5,27,"(0, 0, 2)","(1, 0, 0, 5)",0.1518305251889488
5,10,sarima_100_100_5,1,"(1, 0, 0)","(1, 0, 0, 5)",0.13786494009692038
5,10,sarima_100_100_5,2,"(1, 0, 0)","(1, 0, 0, 5)",0.26874691101806436
5,10,sarima_100_100_5,3,"(1, 0, 0)","(1, 0, 0, 5)",0.2552958378107907
5,10,sarima_100_100_5,4,"(1, 0, 0)","(1, 0, 0, 5)",0.17333631259412025
5,10,sarima_100_100_5,5,"(1, 0, 0)","(1, 0, 0, 5)",0.2768722520748877
5,10,sarima_100_100_5,6,"(1, 0, 0)","(1, 0, 0, 5)",0.16200813656108712
5,10,sarima_100_100_5,7,"(1, 0, 0)","(1, 0, 0, 5)",0.10364677564307567
